sentence,relation
The oral administration of the lipid-soluble extract of red ginseng showed a potent anticancer effect in nude mice bearing human lung cancer cells in a dose-dependent manner without any apparent toxicity. ,Treatment_of_disease
The oral administration of the lipid-soluble extract of red ginseng showed a potent anticancer effect in nude mice bearing human lung cancer cells in a dose-dependent manner without any apparent toxicity . ,Negative
This lipid-soluble ginseng extract is a potential nontoxic anticancer supplement for the prevention and intervention of lung tumor growth through an oral administration route. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders  diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders . ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes  obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders  diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders. ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes obesity and neurodegenerative disorders . ,Treatment_of_disease
Epidemiological data suggest that consumption of coffee and tea is associated with a reduced risk of several chronic and degenerative diseases including cardiovascular disorders diabetes  obesity and neurodegenerative disorders. ,Treatment_of_disease
 Cancer chemoprevention by pomegranate : laboratory and clinical evidence. ,Treatment_of_disease
Recent research has shown that pomegranate extracts selectively inhibit the growth of breast prostate colon and lung cancer cells in culture. ,Treatment_of_disease
Recent research has shown that pomegranate extracts selectively inhibit the growth of breast prostate colon and lung cancer cells in culture. ,Treatment_of_disease
Recent research has shown that pomegranate extracts selectively inhibit the growth of breast prostate colon and lung cancer cells in culture. ,Treatment_of_disease
Recent research has shown that pomegranate extracts selectively inhibit the growth of breast prostate colon and lung cancer cells in culture. ,Treatment_of_disease
In preclinical animal studies oral consumption of pomegranate extract inhibited growth of lung skin colon and prostate tumors . ,Treatment_of_disease
In preclinical animal studies oral consumption of pomegranate extract inhibited growth of lung skin colon and prostate tumors . ,Treatment_of_disease
In preclinical animal studies oral consumption of pomegranate extract inhibited growth of lung skin colon and prostate tumors . ,Treatment_of_disease
In preclinical animal studies oral consumption of pomegranate extract inhibited growth of lung skin colon and prostate tumors . ,Treatment_of_disease
An initial phase II clinical trial of pomegranate juice in patients with prostate cancer reported significant prolongation of prostate specific antigen doubling time. ,Treatment_of_disease
This review focuses on recent investigations into the effects of pomegranate fruit on cancer . ,Treatment_of_disease
Caffeine and coffee as therapeutics against Alzheimer's disease . ,Treatment_of_disease
Epidemiologic studies have increasingly suggested that caffeine/ coffee could be an effective therapeutic against Alzheimer's disease (AD). ,Treatment_of_disease
Epidemiologic studies have increasingly suggested that caffeine/ coffee could be an effective therapeutic against Alzheimer's disease ( AD ). ,Treatment_of_disease
We have utilized a transgenic mouse model for AD in well-controlled studies to determine if caffeine and/or coffee have beneficial actions to protect against or reverse AD-like cognitive impairment and AD pathology. ,Negative
We have utilized a transgenic mouse model for AD in well-controlled studies to determine if caffeine and/or coffee have beneficial actions to protect against or reverse AD-like cognitive impairment and AD pathology. ,Negative
We have utilized a transgenic mouse model for AD in well-controlled studies to determine if caffeine and/or coffee have beneficial actions to protect against or reverse AD-like cognitive impairment and AD pathology. ,Negative
"Caffeinated coffee provided to AD mice also quickly decreased plasma Abeta levels but not ""decaffeinated"" coffee suggesting that caffeine is critical to decreasing blood Abeta levels. ",Treatment_of_disease
"Caffeinated coffee provided to AD mice also quickly decreased plasma Abeta levels but not ""decaffeinated"" coffee  suggesting that caffeine is critical to decreasing blood Abeta levels. ",Negative
These results indicate a surprising ability of moderate caffeine intake (the human equivalent of 500 mg caffeine or 5 cups of coffee per day) to protect against or treat AD in a mouse model for the disease and a therapeutic potential for caffeine against AD in humans. ,Treatment_of_disease
These results indicate a surprising ability of moderate caffeine intake (the human equivalent of 500 mg caffeine or 5 cups of coffee per day) to protect against or treat AD in a mouse model for the disease and a therapeutic potential for caffeine against AD in humans. ,Negative
Protective effects of Nigella sativa on intestinal ischemia-reperfusion injury in rats. ,Treatment_of_disease
BACKGROUND: In previous studies it has been demonstrated that Nigella Sativa (NS) has protective effects against ischemia reperfusion injury on various organs. ,Treatment_of_disease
